id,nameeng,nameamh,position,placeofassignment,detail,,
1076,Dr. Feleke Weldeyes,ዶ/ር ፈለቀ ወልደየስ ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ብዝሀ ህይወት ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1077,Dr. Abyiot Birhanu,ዶ/ር አብዮት ብርሃኑ,ዋና ዳይሬክተር ,የአኢትዮጵያ አካባቢና ደን ምርምር ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1078,Dr.Agiena Anjelo Tanga,ዶ/ር አጌና አንጀሎ ታንጋ,ምክትል ዋና ዳይሬክተር ,የአኢትዮጵያ አካባቢና ደን ምርምር ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1079,Kumera Waqjira Gemeda,አቶ ኩመራ ዋቅጅራ ገመዳ,ዋና ዳይሬክተር ,የኢትዮጵያ የዱር እንሰሳት ልማትና ጥበቃ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1080,Solomon Mekonnen Bula,አቶ ሰለሞን መኮንን ቡላ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ የዱር እንሰሳት ልማትና ጥበቃ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1081,Dr. Ephrem Telike Lemango,ዶ/ር ኤፍሬም ተልኬ ሊማንጎ ,ኮሚሽነር ,የስራ ፈጠራ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1082,Dr. Yinager Dessie Belay,ዶ/ር ይናገር ደሴ በላይ,ገዥ,የኢትዮጵያ ብሄራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1083,Yemane Yossef Tesfaye,አቶ የማነ ዮሴፍ ተስፋዬ,ምክትል ገዥ,የኢትዮጵያ ብሄራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1084,Tiruneh Mitafa Gouta,አቶ ጥሩነህ ሚጣፉ ጉታ,ምክትል ገዥ,የኢትዮጵያ ብሄራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1085,Lensa Mekonnen,ወ/ት ሌንሳ መኮንን ,ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1086,Sertse Firesibhat,አቶ ሰርፀ ፍሬስብሃት ,ምክትል ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1087,Dr. Hagos Abrha,ዶ/ር ሐጎስ አብርሃ ,ምክትል ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1088,Worknesh Biru,ክብርት ወ/ሮ ወርቅነሽ ብሩ ,ዋና ዳይሬክተር ,በተመንግስት አስተዳደር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1089,Endeshaw Tassew W Giyorgis,አቶ እንደሻው ጣሰው ወ/ጊዮርጊስ,ኮሚሽነር ጄኔራል,የፌደራል ፖሊስ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1090,Melaku Fenta Balcha,አቶ መላኩ ፋንታ ባልቻ,ምክትል ኮሚነሽነር ጄኔራል,የፌደራል ፖሊስ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1091,Yihdego Seyum W/Mariyam,አቶ ይህደጎ ስዩም ወ/ማርያም,ምክትል ኮሚነሽነር ጄኔራል,የፌደራል ፖሊስ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1092,Tekola Ayfokiru Yemiru,አቶ ተኮላ አየፎክሩ የምሩ,ምክትል ኮሚነሽነር ጄኔራል,የፌደራል ፖሊስ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1093,Kenea Yadeta Eirena,አቶ ቀንዓ ያደታ ኢረና ,ኮሚሽነር ጄኔራል,የፌደራል ፖሊስ ዩኒቨርስቲ ኮሌጅ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1094,Mulugeta Worku,አቶ ሙሉጌታ ወርቁ ,ምክትል ጆሚሽነር ጀኔራል,የፌደራል ፖሊስ ዩኒቨርስቲ ኮሌጅ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1095,Mitiku Kassa,ክቡር አቶ ምትኩ ካሳ (አልተመደበም),ኮሚሽነር,የቢሄራዊ አደጋ ስጋት አመራር ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1096,Damena Darota,አቶ ዳመና ዳሮታ(አልተመደበም ,ም/ኮሚሽነር ,የቢሄራዊ አደጋ ስጋት አመራር ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1097,Tadelech Dalecho Danjo,ታደለች ዳለቾ (አልተመደበችም),-,የቢሄራዊ አደጋ ስጋት አመራር ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1098,Desalegne G/Yohannes,አቶ ደሳለኝ ገ/ዩሀንስ (አልተመደበም),-,የቢሄራዊ አደጋ ስጋት አመራር ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1099,Efrah Ali Moussa,ወ/ሮ ኤፍራህ አሊ ሙሳ,ዋና ዳይሬክተር ,የኢንፎርሜሽን መረብ ደህንነት ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1100,Teferi Fikrie Gossaye,አቶ ተፈራ ፍቅሬ,ምክትል ዋና ዳይሬክተር ,የኢንፎርሜሽን መረብ ደህንነት ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1101,Dr.Abrham Belay,ዶ/ር አብርሃም በላይ,ምክትል ዋና ዳይሬክተር ,የኢንፎርሜሽን መረብ ደህንነት ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1102,Worku Gachena Negera,አቶ ወርቁ ጋቸና ነገራ,ምክትል ዋና ዳይሬክተር ,የኢንፎርሜሽን መረብ ደህንነት ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1103,Kidanemariyam Gebretsadiq Hadera,አቶ ኪዳነማርያም ገብረፃድቅ ሀደራ,ዋና ዳይሬክተር ,የፋይናንስ ደህንነት መረጃ ማዕከል ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1104,Birhane Woldekiros,አቶ ብርሃነ ወልደኪሮስ ,ምክትል ዋና ዳይሬክተር ,የፋይናንስ ደህንነት መረጃ ማዕከል ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1105,Esayas W/Giyorgis,አቶ ኢሳያስ ወ/ጊዮርጊስ ,ዋና ዳይሬክተር ,ኢሚግርሽን፤ ዜግነትና የወሳኝ ኩነቶች ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1106,Tamiru Ginbeto,አቶ ታምሩ ግንበቶ ,ምክትል ዋና ዳይሬክተር ,ኢሚግርሽን፤ ዜግነትና የወሳኝ ኩነቶች ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1107,General Adem Mehammed,ጀኔራል አደም መሀመድ,ዋና ዳይሬክተር ,የብሄራዊ መረጃና ደህንነት አገልግሎት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1108,Commisioner Demelash -/Michael,ኮሚሽነር ደመለሽ /ሚካኤል ,ምክትል ዋና ዳይሬክተር ,የብሄራዊ መረጃና ደህንነት አገልግሎት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1109,Kebede Chanie,አቶ ከበደ ጫኔ ,ዋና ዳይሬክተር ,የስደተኞች እና ከስደት ተመላሾች ጉዳዮች ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1110,Nega Berhe,አቶ ነጋ በርሄ ,ምክትል ዋና ዳይሬክተር ,የስደተኞች እና ከስደት ተመላሾች ጉዳዮች ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1111,Adissu Kebienesa,አቶ አዲሱ ቀቤነሳ,ምክትል ዳይሬክተር,የስደተኞች እና ከስደት ተመላሾች ጉዳዮች ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1112,Ambassador Arega Hailu,አምባሳደር አረጋ ሀይሉ ,ምክትል ዋና ዳይሬክተር ,የውጭ ግንኙነት አገልግሎት ማሰልጠኛ ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1113,Selamawit Dawit,ወ/ሮ ሰላማዊት ዳዊት ,ዋና ዳይሬክተር ,የዳያስፖራ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1114,Getahun Nana Jenber,አቶ ጌታሁን ናና ጀምበር,የኢትዮጵያ ልማት ባንክ,ፕሬዚዳንት,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1115,Mehammed Endris,አቶ መሀመድ እንድሪስ ,ምክትል ዋና ዳይሬክተር ,የዳያስፖራ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1116,Marta Lewoji Anteneh,ወ/ሮ ማርታ ልውጂ አንተነህ,ዋና ዳይሬክተር ,የመንግስት ግዥና ንብረት አስትዳደር ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1117,Jonse Degefa Letta,አቶ ጆንሴ ደገፋ ለታ,ምክትል ዋና ዳይሬክተር ,የመንግስት ግዥና ንብረት አስትዳደር ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1118,Yeyigezu Daba,አቶ የይገዙ ዳባ,ዋና ዳይሬክተር ,የመንግስት ግዥና ንብረት ማስወገድ አገልግሎት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1119,Tesfaye Birhanu,አቶ ተስፋዬ ብርሃኑ ,ምክትል ዋና ዳይሬክተር ,የመንግስት ግዥና ንብረት ማስወገድ አገልግሎት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1120,Solomon Ayinimar,አቶ ሰለሞን አይኒማአር,ምክትል ዋና ዳይሬክተር ,የመንግስት ግዥና ንብረት ማስወገድ አገልግሎት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1121,Gashe Yemane,አቶ ጋሼ የማነህ ,ዋና ዳይሬክተር ,የኢትዮጵያ ሂሳብ አያያዝና ኦዲት ቦርድ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1122,Beyene G/Mesqel Mada,አቶ በየነ ገ/መስቀል ማዳ,ዋና ዳይሬክተር ,የመንግስት የልማት ድርጅቶች ይዞታና አስተዳደር ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1123,Habtamu H/Michael,አቶ ሃብታሙ ኃ/ሚካኤል ,ም/ዋና ዳይሬክተር ,የመንግስት የልማት ድርጅቶች ይዞታና አስተዳደር ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1124,Ahmed Hamza,ብ/ጀነራል አህመድ ሀምዛ,ዋና ዳይሬክተር ,የብረታብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1125,Tigabu Fetle,ብ/ጀነራል ጥጋቡ ፈትለ,ም/ዋና ዳይሬክተር ,የብረታብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1126,General Tena Kirundie,ጀኔራል ጠና ቁሩንዴ ,ም/ዋና ዳይሬክተር ,የብረታብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1127,Abdulaziz Ahmed,አቶ አብዱላዚዝ አህመድ ,ም/ዋና ዳይሬክተር ,የብረታብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1128,B/General Ahmed Hamza,ብርጋዴር  ጄኔራል አህመድ ሀምዛ ,ም/ዋና ዳይሬክተር ,የብረታብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1129,L/Colonel Shegaw Mulugeta,ሌ/ኮሎኔል ሽጋው ሙሉጌታ ,ም/ዋና ዳይሬክተር ,የብረታብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1130,B/General Hadgu G/Giyorgis,ብርጋዴር  ጄኔራል ሀድጉ ገ/ጊዮርጊስ ,ም/ዋና ዳይሬክተር ,የብረታብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1131,Awol Ali,አቶ አወል አሊ ,ም/ዋና ዳይሬክተር ,የብረታብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1132,Ermias Yemanebirhan,አቶ ኤርሚያስ የማነብርሃን ,ዋና ዳይሬክተር ,የኢትዮጵያ የአእምሮአዊ ንብረት ጽ/ቤት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1133,Endalu Mosisa Waqtola,አቶ እንዳሉ ሞሲሳ ዋቅቶላ,ም/ዋና ዳይሬክተር ,የኢትዮጵያ የአእምሮአዊ ንብረት ጽ/ቤት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1134,Jimma Dulbo Denbel,አቶ ጅማ ዱልቦ ደንበል,ዋና ዳይሬክተር ,የበጎ አድራጎት ድርጅቶች እና ማህበራዊ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1135,Fasikaw Molla,አቶ ፋስካው ሞላ ,ምክትል ዋና ዳይሬክተር ,የበጎ አድራጎት ድርጅቶች እና ማህበራዊ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1136,Mersa G/Yohannes Asfa Wossen,አቶ መርሳ ገብረዩሀንስ ,ዋና ዳይሬክተር ,የፌደራል የሰነዶች ማረጋገጫና ምዝገባ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1137,Muluken Amare Adinew,አቶ ሙሉቀን አማረ አድነው,የድጋፍ ስራዎች ም/ዋና ዳይሬክተር ,የፌደራል የሰነዶች ማረጋገጫና ምዝገባ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1138,Ashimawi Seyifu,አቶ አሽማዊ ሰይፉ,የኦፕሬሽን ምክትል ዋና ዳይሬክተር,የፌደራል የሰነዶች ማረጋገጫና ምዝገባ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1139,Abrham Nigussie,አቶ አብርሃም ንጉሴ ,ምክትል ዋና ዳይሬክተር ,የፌደራል የሰነዶች ማረጋገጫና ምዝገባ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1140,Hamid Kiniso Dido,አቶ ሐሚድ ኪኒሶ,ምክትል ዋና ዳይሬክተር ,የፌደራል የሰነዶች ማረጋገጫና ምዝገባ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1141,Jemal Abasso,አቶ ጀማል አባሶ ,ዋና ዳይሬክተር ,የፌደራል የማረሚያ ቤቶች አስተዳደር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1142,Yaregal Ademe,ረዳት ኮሚኒሽነር ያረጋል አደመ,ምክትል ዋና ዳይሬክተር ና የፋይናንስና የሰው ኃብት ልማት ዘርፍ ኃላፊ ,የፌደራል የማረሚያ ቤቶች አስተዳደር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1143,Commander Wondimu Chama,ኮሞንደር ወንድሙ ጫማ ,ምክትል ዋና ዳይሬክተር ና የመሰረታዊ ፍላጎት ዘርፍ ኃላፊ ,የፌደራል የማረሚያ ቤቶች አስተዳደር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1144,Commander Desta Asmelash,ኮማንደር ደስታ አስመላሽ ,ምክትል ዋና ዳይሬክተር ና የታሀድሶ ልማት ዘርፍ ኃላፊ,የፌደራል የማረሚያ ቤቶች አስተዳደር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1145,Ambassador Degife Bula,አቶ አምባ. ደገፈ ቡላ ,በሚኒስትር ማዕረግ ዋና ዳይሬክተር,የፍትህና የህግ ምርምር እና ስልጠና ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1146,Mitiku Mada Dilnesaw,አቶ ምትኩ ማዳ ድልነሳው,በሚ/ር ዴኤታ  ማዕረግ የንግድና የኢኮኖሚ ጥናትና ምርምር ዘርፍ ም/ዋና ዳይሬክተር ,የፍትህና የህግ ምርምር እና ስልጠና ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1147,Tesfalem Yihdego G/Kidanb,አቶ ተስፋለም ይህደጎ ገ/ኪዳን,በሚኒስትር ዴኤታ ማዕረግ የፍትህ ስርዓት ፕሮግራም ጥናትና ምርምር ዘርፍ ም/ዋና ዳይሬክተር ,የፍትህና የህግ ምርምር እና ስልጠና ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1148,Mesfin Abebe Bediy,አቶ መስፍን አበበ በድዬ,በሚኒስትር ዴኤታ ማዕረግ የህግ ትምህርትና ስልጠና ጥናትና ምርምር ዘርፍ ም/ዋና ዳይሬክተር ,የፍትህና የህግ ምርምር እና ስልጠና ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1149,Zekariyas Erkola Yimam,አቶ ዘካሪያስ ኤርኮላ ,የህግ ጥናትና ምርምር ኢንስቲቲውት ሚንስተር ዴኤታ ,የፍትህና የህግ ምርምር እና ስልጠና ኢንስቲቲውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1150,Mulugeta Ayalew,አቶ ሙሉጌታ አያሌው,ፕሬዘዳንት ,የፌደራል ግብር ይግባኝ ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1151,Serkalem Eniyew,ወ/ሪት ሰርካለም እንየው,ዳኛ,የፌደራል ግብር ይግባኝ ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1152,Zinabu Tadesse,አቶ ዝናቡ ታደሰ,ዳኛ,የፌደራል ግብር ይግባኝ ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1153,Yossef Alemu,አቶ ዮሴፍ አለሙ,ዳኛ,የፌደራል ግብር ይግባኝ ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1154,Belay Wadisha,አቶ በላይ ወዱሻ,ዳኛ,የፌደራል ግብር ይግባኝ ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1155,Dr. Terzu Daya,ዶ/ር ጠርዙ ዳያ ,ዋና ዳይሬክተር ,የእንስሳት መድሀኒትና መስኖ አስተዳደርና ቁጥጥር ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1156,Ousman Surur Siraj,አቶ ኡስማን ሱሩር ሲራጅ ,ዋና ዳይሬክተር ,የፌደራል ህብረት ስራ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1157,Abdi Mehammed,አቶ አብዲ ሙመዱ,ምክትል ዋና ዳይሬክተር ,የፌደራል ህብረት ስራ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1158,Mandefro Nigussie,ዶ/ር ማንደፍሮ ንጉሴ ,ዋና ዳይሬክተር ,የኢትዮጵያ ግብርና ምርምር ኢንስቲትውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1159,Dr. Diriba Geleti,ዶር/ዲራባ ገለቲ ,ም/ዋና ዳይሬክተር ,የኢትዮጵያ ግብርና ምርምር ኢንስቲትውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1160,Dr. Chilot Yirga,ዶ/ር ችሎት ይርጋ ,የአስተዳደርና አቅም ግንባታ ም/ዋና ዳይሬክተር ,የኢትዮጵያ ግብርና ምርምር ኢንስቲትውት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1161,Kalhid Bomba,አቶ ካሊድ ቦምባ ,ዋና ዳይሬክተር ,የግብርናና ትራንስፎርሜሽን ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1162,Dr. Dagnachew Beyene,ዶ/ር ዳኛቸው በየነ ,ዋና ዳይሬክተር ,የብሄራዊ የቆላ ዝንብና የገንዲ በሽታ መቆጣጠሪያና ማጥፊያ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1163,Dr. Adugna Debela,ዶ/ር አዱኛ ደባላ ,ዋና ዳይሬክተር ,የኢትዮጵያ ቡናና ሻይ ልማትና ግብይት ባለ ስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1164,Shafi Oumer Aga,አቶ ሻፊ ኡመር አጋ ,የልማትና ቁጥጥር ዘርፍ ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ቡናና ሻይ ልማትና ግብይት ባለ ስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1165,Awugichew Teshome Kifle,አቶ አውግቸው ተሾመ ክፍሌ,የልማት ዘርፍ ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ቡናና ሻይ ልማትና ግብይት ባለ ስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1166,Dr. Mekuriya Tadesse,ዶ/ር መኩሪያ ታደሰ ,ዋና አስተባባሪ ,የግብርና ምርምር ካውንስል ሴክሬታሪያል ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1167,Dr. Mesfin Sehalie Forsa,ዶ/ር መስፍን ሳህሌ ፎርሳ,ዋና ዳይሬክተር ,የብሄራዊ እንስሳት ጤና ምርምርና ጥናት ማዕከል ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1168,Dr. Esayas Tessema,ዶ/ር ኢሳያስ ተሰማ ,ዋና ዳይሬክተር ,የብሄራዊ ሰው ሰራሽ እንስሳት ማራቢያ ዘዴ ማዕከል ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1169,Manyazewal Endeshaw Guwangul,አቶ ማንያዘዋል እንደዳሻው ጓነጉል,ዋና ዳይሬክተር ,የኢትዮጵያ ብሄራዊ ቲያትር,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1170,Bereket Smeon W/Gerima,አቶ በረከት ስምኦን ወ/ገሪማ,በሚኒስትር ማእረግ የኢንዱስትሪ ዘርፍ ኃላፈ,የኢፌዲሪ ጥናትና ምርምር ተቋም,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1171,Dr. Marta Yami,ዶ/ር ማርታ ያሚ ,ዋና ዳይሬክተር ,የብሄራዊ የእንስሳት ጤና ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1172,Sileshi Lemma Bekele,አቶ ስለሺ ለማ በቀለ,ዋና ዳይሬክተር ,የኢትዮጵያ ጨርቃጨርቅ ኢንዱስትሪ ልማት ኢንሲቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1173,Yared Mesfin Tefera,አቶ ያሬድ መስፍን ተፈራ,የቴክኒክ ዘርፍ ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ጨርቃጨርቅ ኢንዱስትሪ ልማት ኢንሲቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1174,Nigussie Godana Midikso,አቶ ንጉሴ ጎዳና ሚዲቅሶ,የጨርቃጨርቅ ልማት ዘርፍ ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ጨርቃጨርቅ ኢንዱስትሪ ልማት ኢንሲቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1175,Messele Mekuria Bekele,አቶ መሰለ መኩሪያ በቀለ,የጥጥ ልማት ዘርፍ ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ጨርቃጨርቅ ኢንዱስትሪ ልማት ኢንሲቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1176,Bogale Feleke Temesgen,አቶ ቦጋለ ፈለቀ ተመስገን,ዋና ዳይሬክተር ,የቆዳ ኢንዱስትሪ ልማት እንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1177,Hailekiros Debesey Melkamu,አቶ ኃይለኪሮስ ደበሳይ,የጫማና ቆዳ ዘርፍ ምክትል ዋና ዳይሬክተር ,የቆዳ ኢንዱስትሪ ልማት እንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1178,Muhammed Hussien,አቶ ሙሀመድ ሁሴን ,የቆዳ ቴክኖሎጂ ዘርፍ ምክትል ዋና ዳይሬክተር ,የቆዳ ኢንዱስትሪ ልማት እንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1179,Workneh Delelegne,አቶ ወርቅነህ ደሳለኝ,ዋና ዳይሬክተር ,የብረታብረት ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1180,Fekadu Haile,አቶ ፍቃዱ ኃይሌ ,የምርምር ልማት ዘርፍ ምክትል ዋና ዳይሬክተር ,የብረታብረት ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
